customer_id,customer_name,email,country,join_date,age
100001,Tonya Sims,bradleyalbert@example.org,Italy,2024-10-20,26
100002,Darren Perry,natasha66@example.net,Slovakia (Slovak Republic),2024-10-16,24
100003,Beth Green,sandrawalker@example.net,Djibouti,2023-06-07,62
100004,Angela Bernard,gaineserika@example.org,Lao People's Democratic Republic,2023-10-31,52
100005,Michael Goodwin,lorifoster@example.org,Eritrea,2024-05-12,68
100006,Erin Duncan,kochcynthia@example.net,Ethiopia,2023-08-02,41
100007,Rebecca Robinson,cheryl47@example.com,Central African Republic,2023-08-27,68
100008,Marcia Flowers,christina67@example.com,South Georgia and the South Sandwich Islands,2025-04-21,53
100009,Harry Roy,clarkegabriel@example.org,Saint Vincent and the Grenadines,2023-12-16,54
100010,Richard Powell,williamsjames@example.net,Mongolia,2023-05-09,31
100011,Michele Fields,dturner@example.com,Bangladesh,2025-02-26,71
100012,Emily Thomas,vwright@example.net,Greece,2023-12-30,40
100013,Todd Klein,gregory31@example.com,Niger,2024-05-13,50
100014,Misty Brady,xramos@example.com,Yemen,2024-07-13,34
100015,Craig Blanchard,rmatthews@example.com,Timor-Leste,2023-10-08,64
100016,Megan Grimes,greg78@example.net,Cyprus,2024-01-11,64
100017,David Yates,mcclainjohn@example.com,Djibouti,2023-11-28,66
100018,Mark Massey,brentodom@example.com,Georgia,2023-07-14,59
100019,Brittany Chang,andrew98@example.com,Comoros,2024-11-02,21
100020,Brooke Allen,bradley16@example.org,Brunei Darussalam,2023-11-06,69
100021,Erin Fuentes,xerickson@example.com,Greece,2024-06-15,69
100022,Amy Matthews,cynthia04@example.org,Canada,2025-03-22,37
100023,Melissa Evans,phillip11@example.net,Niger,2023-08-26,48
100024,Jaime Miller,jesse07@example.net,Belarus,2024-07-25,20
100025,David Rowland,rebecca53@example.net,Portugal,2023-12-23,67
100026,Dawn Gill,jensennancy@example.org,Grenada,2024-10-15,73
100027,Peter Howard DVM,oreynolds@example.org,Malaysia,2024-08-29,41
100028,Veronica Ortiz,larsenryan@example.net,Isle of Man,2023-08-09,62
100029,Angela Caldwell,patricia63@example.com,Bulgaria,2023-05-04,47
100030,April Graham,edwardskeith@example.org,Germany,2024-08-10,23
100031,Janice Stokes,dlarson@example.org,Gambia,2023-09-21,70
100032,Melissa Henderson,mcgeebrittany@example.org,Aruba,2023-06-27,75
100033,Pamela Butler,atkinsonjessica@example.net,Canada,2024-05-08,69
100034,Kelly Grant,benjaminlloyd@example.com,Palestinian Territory,2023-07-24,28
100035,David Mills,erasmussen@example.net,Mauritania,2024-11-17,71
100036,Joseph Cohen,cgalvan@example.com,Niue,2023-05-24,44
100037,Janet Holder,omarthompson@example.org,American Samoa,2024-05-03,38
100038,Michelle Moore,ramseytonya@example.org,Peru,2024-09-27,42
100039,Donna Moore,stephenbell@example.com,Andorra,2024-04-23,40
100040,Monica Joseph,chungjeffrey@example.com,Netherlands,2024-04-05,42
100041,Kelly George,dakota45@example.com,New Caledonia,2024-06-26,72
100042,Joel Miller,kcastillo@example.org,Western Sahara,2024-03-29,62
100043,Jose Butler,carlos85@example.com,Uganda,2023-07-14,35
100044,Eric Jordan,elizabeth56@example.org,Gabon,2023-11-06,24
100045,Ann Williams,jclark@example.org,Saint Helena,2023-05-22,61
100046,Joseph Ali,yrivera@example.org,Dominican Republic,2024-12-15,45
100047,John Norton,rhodescory@example.com,Portugal,2024-07-02,38
100048,Mr. Christopher Perry,justin72@example.org,Timor-Leste,2023-07-16,43
100049,Maurice Taylor,stephanie45@example.com,Anguilla,2024-09-19,42
100050,Glenn Lawrence,hunterjulie@example.org,Papua New Guinea,2024-07-07,44
100051,Krista Clark,dmorales@example.org,Mali,2024-05-27,47
100052,Eric Davis,alexanderyates@example.com,Egypt,2024-06-08,24
100053,Michael Johnson,carterlawrence@example.net,Gambia,2024-08-19,39
100054,Victoria Vasquez,daniel99@example.net,Isle of Man,2023-12-26,47
100055,Jennifer Hughes DDS,wsteele@example.org,Mali,2024-08-09,67
100056,Brooke Rogers,ostrickland@example.com,Azerbaijan,2023-04-30,68
100057,David Anderson,benjamin67@example.com,Timor-Leste,2025-02-13,25
100058,Ashley Ward,april04@example.org,Uzbekistan,2024-06-01,23
100059,Carol Atkins,rogersrobert@example.com,Aruba,2024-10-29,70
100060,Ashley White,tonytran@example.com,Libyan Arab Jamahiriya,2024-09-01,25
100061,Lauren James,robertnguyen@example.com,India,2024-08-13,26
100062,Juan Burnett,kevin20@example.org,Cayman Islands,2025-01-06,20
100063,Melissa Hernandez,elee@example.org,Trinidad and Tobago,2024-04-19,49
100064,Billy Richardson,sherrymonroe@example.org,United States Minor Outlying Islands,2024-06-14,19
100065,Christian Shelton,morakristin@example.net,Serbia,2023-11-06,24
100066,Jennifer Reyes,bakersarah@example.org,Tunisia,2024-05-20,51
100067,Natasha Rivas,jessicaboone@example.com,Zimbabwe,2024-09-18,62
100068,Brenda Torres,jortiz@example.net,Singapore,2023-10-08,60
100069,Wayne Robinson,campbelljames@example.org,Maldives,2023-07-16,19
100070,Scott Bond,collinsstacy@example.com,Uruguay,2023-07-02,62
100071,Crystal Edwards,wallacebrenda@example.org,Georgia,2023-12-25,39
100072,Jonathan Gutierrez,laura67@example.org,French Polynesia,2024-09-21,58
100073,Judy Lewis,gonzalezjose@example.com,Serbia,2025-04-03,51
100074,Ernest Martinez,stephenstanley@example.com,Netherlands Antilles,2023-11-21,67
100075,Jordan Adams,jasonkaiser@example.com,Estonia,2023-11-13,54
100076,Lauren Morse,osmith@example.org,New Caledonia,2023-07-18,30
100077,Jennifer Booker,christopher64@example.org,Albania,2025-02-02,66
100078,Danny Simmons,ebell@example.net,Oman,2024-07-02,41
100079,John Gould,christophercopeland@example.org,Anguilla,2024-06-14,54
100080,Maria Phillips,martinjeremiah@example.org,Iceland,2025-04-19,45
100081,Antonio Alexander,tmarshall@example.net,Honduras,2024-12-18,49
100082,Lauren Stone,william81@example.com,American Samoa,2025-03-24,58
100083,Jennifer Rodriguez,morsestephen@example.com,Albania,2024-12-02,55
100084,John Sosa,desireeedwards@example.com,Nepal,2023-09-27,69
100085,Rose Villa,hrose@example.org,Kenya,2023-07-18,29
100086,Olivia Collier,ramirezandrew@example.org,Ethiopia,2023-12-05,69
100087,Tony Patrick,melinda67@example.com,Denmark,2023-10-24,74
100088,Matthew Turner,vmercer@example.com,Wallis and Futuna,2023-08-30,44
100089,William Castillo,cardenasjessica@example.com,Ecuador,2025-03-31,29
100090,Timothy Brown,paulpowell@example.com,Croatia,2024-11-05,41
100091,Brian Singh,dholland@example.org,Bosnia and Herzegovina,2024-04-13,64
100092,Keith Turner,jbenson@example.com,Madagascar,2024-05-15,73
100093,Brittany Hull,megan65@example.net,Ecuador,2025-02-04,39
100094,Sharon Hopkins,qtran@example.org,Eritrea,2024-10-22,26
100095,Timothy Allen,kyliekline@example.com,United States Virgin Islands,2024-08-11,40
100096,Timothy Jordan,michael17@example.org,Sweden,2023-12-31,47
100097,Calvin Gilmore,pricematthew@example.com,Qatar,2025-01-16,44
100098,Lisa Michael,karen64@example.com,Cote d'Ivoire,2025-01-22,23
100099,Melissa West,mcmillanelaine@example.net,Oman,2024-01-06,40
100100,Aaron Sawyer,johnanderson@example.net,Tajikistan,2023-07-12,19
100101,Victoria Sanders,michaelmartinez@example.net,Azerbaijan,2024-01-07,63
100102,Thomas Price,smithelizabeth@example.org,Papua New Guinea,2024-12-15,63
100103,Angela Murphy,perrymeghan@example.com,Congo,2024-07-06,72
